date,open,high,low,close,volume
2025-05-23,2.48,2.51,2.46,2.46,329823
2025-05-26,2.47,2.52,2.47,2.48,336340
2025-05-27,2.48,2.49,2.44,2.47,362640
2025-05-28,2.46,2.52,2.42,2.43,364649
2025-05-29,2.43,2.67,2.43,2.67,1116133
2025-05-30,2.77,2.79,2.63,2.63,1791608
2025-06-03,2.68,2.74,2.64,2.65,975893
2025-06-04,2.64,2.75,2.63,2.72,1103274
2025-06-05,2.73,2.77,2.68,2.73,950931
2025-06-06,2.73,2.75,2.68,2.71,676528
2025-06-09,2.71,2.76,2.7,2.75,817073
2025-06-10,2.74,2.75,2.63,2.67,777699
2025-06-11,2.66,2.7,2.65,2.65,555127
2025-06-12,2.65,2.66,2.61,2.63,482284
2025-06-13,2.66,2.7,2.56,2.57,847507
2025-06-16,2.56,2.7,2.54,2.63,924383
2025-06-17,2.62,2.73,2.58,2.72,1382584
2025-06-18,2.71,2.71,2.66,2.67,647297
2025-06-19,2.68,2.72,2.56,2.57,739210
2025-06-20,2.56,2.62,2.53,2.6,598319
2025-06-23,2.62,2.86,2.6,2.86,1706727
2025-06-24,2.97,3.04,2.87,3.02,3631468
2025-06-25,2.95,3.0,2.91,2.99,2169233
2025-06-26,2.99,3.29,2.97,3.11,4267855
2025-06-27,3.16,3.42,3.14,3.42,1934401
2025-06-30,3.57,3.76,3.31,3.6,6544347
2025-07-01,3.59,3.66,3.25,3.29,5203750
2025-07-02,3.23,3.52,3.18,3.25,3932555
2025-07-03,3.19,3.23,3.1,3.16,2453387
2025-07-04,3.3,3.45,3.23,3.28,3949131
2025-07-07,3.23,3.45,3.21,3.38,3153046
2025-07-08,3.36,3.54,3.33,3.49,2852392
2025-07-09,3.45,3.6,3.38,3.46,2433977
2025-07-10,3.45,3.53,3.34,3.42,2099961
2025-07-11,3.41,3.46,3.32,3.39,1778687
2025-07-14,3.37,3.38,3.26,3.29,1331863
2025-07-15,3.37,3.4,3.26,3.29,1641273
2025-07-16,3.26,3.34,3.24,3.29,896192
2025-07-17,3.33,3.41,3.32,3.37,1481413
2025-07-18,3.38,3.44,3.32,3.34,1502767
2025-07-21,3.31,3.39,3.31,3.38,1213736
2025-07-22,3.4,3.58,3.33,3.35,1834517
2025-07-23,3.33,3.46,3.27,3.27,1841961
2025-07-24,3.25,3.34,3.24,3.32,1028443
2025-07-25,3.32,3.45,3.27,3.37,1920836
2025-07-28,3.45,3.71,3.43,3.71,1767885
2025-07-29,3.76,3.76,3.55,3.68,3438193
2025-07-30,3.64,3.72,3.59,3.63,1946746
2025-07-31,3.62,3.9,3.61,3.8,3299476
2025-08-01,3.83,4.08,3.76,4.04,3122198
2025-08-04,4.02,4.05,3.84,3.92,2230594
2025-08-05,3.87,3.99,3.83,3.95,1643899
2025-08-06,3.85,3.85,3.61,3.65,2769175
2025-08-07,3.67,3.72,3.63,3.68,1488576
2025-08-08,3.65,3.79,3.65,3.78,1934461
2025-08-11,3.89,4.16,3.86,4.16,2328588
2025-08-12,4.16,4.36,4.07,4.18,4190929
2025-08-13,4.14,4.31,4.11,4.23,2977591
2025-08-14,4.25,4.28,4.11,4.11,2221081
2025-08-15,4.08,4.15,4.07,4.11,1504939
2025-08-18,4.16,4.16,4.04,4.09,2185045
2025-08-19,4.08,4.12,4.05,4.06,1329777
2025-08-20,4.05,4.05,3.96,4.05,1399040
2025-08-21,4.09,4.24,4.0,4.03,2069609
2025-08-22,3.99,4.07,3.97,4.07,1291862
2025-08-25,4.08,4.23,4.08,4.18,2345014
2025-08-26,4.2,4.3,4.1,4.2,2025556
2025-08-27,4.24,4.27,4.02,4.02,2066521
2025-08-28,4.0,4.05,3.81,3.98,2155603
2025-08-29,3.97,3.98,3.88,3.91,1064411
2025-09-01,3.91,3.97,3.88,3.9,1110296
2025-09-02,3.91,3.92,3.72,3.73,1350482
2025-09-03,3.73,3.78,3.69,3.7,1013542
2025-09-04,3.71,3.72,3.54,3.62,1088189
2025-09-05,3.62,3.71,3.58,3.71,881787
2025-09-08,3.72,3.73,3.63,3.68,754403
2025-09-09,3.65,3.66,3.56,3.57,856499
2025-09-10,3.59,3.65,3.57,3.6,649257
2025-09-11,3.6,3.66,3.53,3.66,926416
2025-09-12,3.65,3.76,3.64,3.71,1211629
2025-09-15,3.75,3.78,3.65,3.67,804548
2025-09-16,3.67,3.74,3.63,3.74,868492
2025-09-17,3.73,3.75,3.68,3.69,893549
2025-09-18,3.69,3.78,3.61,3.64,1442926
2025-09-19,3.63,3.72,3.54,3.55,901366
2025-09-22,3.56,3.62,3.55,3.62,696703
2025-09-23,3.58,3.61,3.34,3.43,1262413
2025-09-24,3.4,3.52,3.37,3.51,795739
2025-09-25,3.49,3.53,3.44,3.44,726303
2025-09-26,3.41,3.44,3.35,3.36,674588
2025-09-29,3.29,3.36,3.21,3.32,835325
2025-09-30,3.36,3.38,3.32,3.34,464600
2025-10-09,3.38,3.48,3.38,3.41,768050
2025-10-10,3.36,3.44,3.35,3.37,646701
2025-10-13,3.25,3.48,3.21,3.45,1047157
2025-10-14,3.45,3.49,3.4,3.42,800906
2025-10-15,3.42,3.43,3.36,3.41,486496
2025-10-16,3.41,3.41,3.32,3.33,510879
2025-10-17,3.34,3.53,3.31,3.45,1150469
2025-10-20,3.45,3.5,3.35,3.39,760428
2025-10-21,3.36,3.42,3.31,3.41,649334
2025-10-22,3.39,3.44,3.39,3.4,432090
2025-10-23,3.41,3.48,3.36,3.45,725828
2025-10-24,3.46,3.47,3.37,3.38,618793
2025-10-27,3.4,3.52,3.4,3.44,779154
2025-10-28,3.43,3.44,3.35,3.37,711917
2025-10-29,3.37,3.37,3.3,3.33,673782
2025-10-30,3.33,3.33,3.24,3.24,685433
2025-10-31,3.42,3.56,3.42,3.56,2185947
2025-11-03,3.6,3.72,3.54,3.68,3390911
2025-11-04,3.66,3.79,3.64,3.72,2138841
2025-11-05,3.65,3.75,3.63,3.69,1411089
2025-11-06,3.7,3.77,3.64,3.72,1502474
2025-11-07,3.72,3.72,3.61,3.63,1088106
2025-11-10,3.64,3.84,3.64,3.8,2013668
