序号,代码,名称,现价,涨跌幅(%),涨跌额,成交量(手),成交额(亿),换手率(%),最高,最低,今开,昨收,涨跌状态
82,688505,复旦张江,8.04,0.88,0.07,53000,0.42,2.51,8.08,7.88,7.92,7.97,上涨
83,600062,华润双鹤,18.65,0.87,0.16,107234,1.99,1.95,18.69,18.33,18.37,18.49,上涨
84,000756,新华制药,15.06,0.8,0.12,75567,1.13,3.15,15.07,14.6,14.72,14.94,上涨
85,002393,力生制药,24.02,0.8,0.19,97969,2.35,2.14,24.17,23.66,23.66,23.83,上涨
86,920735,德源药业,30.67,0.79,0.24,15244,0.47,3.02,30.97,30.05,30.13,30.43,上涨
87,000931,中 关 村,5.15,0.78,0.04,114736,0.59,1.76,5.17,5.08,5.08,5.11,上涨
88,688189,南新制药,7.75,0.78,0.06,60443,0.47,3.38,7.85,7.59,7.69,7.69,上涨
89,688247,宣泰医药,9.55,0.74,0.07,19240,0.18,2.85,9.57,9.3,9.48,9.48,上涨
90,300194,福安药业,4.12,0.73,0.03,160988,0.66,2.44,4.12,4.02,4.04,4.09,上涨
91,002365,永安药业,13.99,0.65,0.09,58028,0.81,2.3,14.03,13.71,13.8,13.9,上涨
92,301065,本立科技,22.9,0.62,0.14,16032,0.36,1.98,22.95,22.5,22.52,22.76,上涨
93,600789,鲁抗医药,8.34,0.6,0.05,139658,1.16,2.29,8.35,8.16,8.2,8.29,上涨
94,002898,*ST赛隆,11.57,0.52,0.06,10641,0.12,4.0,11.71,11.25,11.45,11.51,上涨
95,300583,赛托生物,14.25,0.42,0.06,21056,0.3,2.33,14.36,14.03,14.1,14.19,上涨
96,002940,昂利康,31.29,0.42,0.13,137306,4.32,4.46,32.0,30.61,30.61,31.16,上涨
97,301211,亨迪药业,12.12,0.41,0.05,31423,0.38,2.24,12.2,11.93,12.0,12.07,上涨
98,300434,金石亚药,9.96,0.4,0.04,70332,0.7,3.23,10.08,9.76,9.83,9.92,上涨
99,300006,莱美药业,5.09,0.39,0.02,233451,1.18,3.55,5.16,4.98,5.01,5.07,上涨
100,688062,迈威生物-U,36.45,0.36,0.13,99553,3.64,3.61,37.33,36.02,36.51,36.32,上涨
